Time (s),Altitude (m),Vertical Speed (m/s),Horizontal Speed (m/s),Angle (°),Fuel (L),Throttle,dhs,dvs
103.0,3154.6426218252273,185.31939495909364,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
104.0,2967.7012268661338,186.94139495909366,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
105.0,2779.13783190704,188.56339495909367,921.4001431162858,58.217774859981574,118.75127145378505,0.0,0.0,1.622000000000014
106.0,2588.9524369479464,190.18539495909368,921.4001431162858,57.68448531977768,118.75127145378505,0.0,0.0,1.622000000000014
107.0,2397.1450419888524,191.8073949590937,921.4001431162858,56.84014491243414,118.75127145378505,0.0,0.0,1.622000000000014
108.0,2203.7156470297587,193.4293949590937,921.4001431162858,55.70562311537219,118.75127145378505,0.0,0.0,1.622000000000014
109.0,2008.664252070665,195.05139495909373,921.4001431162858,54.30353544046272,118.75127145378505,0.0,0.0,1.622000000000014
110.0,1811.9908571115714,196.67339495909374,921.4001431162858,52.65503375992657,118.75127145378505,0.0,0.0,1.622000000000014
111.0,1613.6954621524776,198.29539495909376,921.4001431162858,50.795627077408994,118.75127145378505,0.0,0.0,1.622000000000014
112.0,1413.7780671933838,199.91739495909377,921.4001431162858,48.74218853633212,118.75127145378505,0.0,0.0,1.622000000000014
113.0,1212.2386722342899,201.53939495909378,921.4001431162858,46.51046304158254,118.75127145378505,0.0,0.0,1.622000000000014
114.0,1009.0772772751961,203.1613949590938,921.4001431162858,44.11465485471426,118.75127145378505,0.0,0.0,1.622000000000014
115.0,804.2938823161023,204.7833949590938,921.4001431162858,41.567594030425866,118.75127145378505,0.0,0.0,1.622000000000014
116.0,597.8884873570084,206.40539495909383,921.4001431162858,38.880868844151735,118.75127145378505,0.0,0.0,1.622000000000014
117.0,389.8610923979146,208.02739495909384,921.4001431162858,36.064945997160756,118.75127145378505,0.0,0.0,1.622000000000014
118.0,180.21169743882075,209.64939495909385,921.4001431162858,33.129279167819874,118.75127145378505,0.0,0.0,1.622000000000014
119.0,0.0,0.0,0.0,30.129279167819874,118.75127145378505,0.0,-921.4001431162858,-209.64939495909385
